"Model","MSE"
"3_0.01_0.2",106.47
"1_0.01_0.3",123.68
"1_0.01_0.2",131.62
"1_0.001_0.2",143.43
"3_0.01_0.3",153.59
"2_0.01_0.2",156.88
"2_0.001_0.2",200.17
"2_0.01_0.3",213.3
"2_0.001_0.3",214.29
"1_0.01_0.5",223.15
"3_0.01_0.5",233.73
"1_0.001_0.3",264.44
"2_0.01_0.5",267.58
"1_0.001_0.5",303.11
"2_0.001_0.5",322.2
"3_0.001_0.2",354.16
"3_0.001_0.3",377.62
"1_1e-04_0.2",388.02
"1_1e-04_0.3",399.84
"3_0.001_0.5",455.41
"1_1e-04_0.5",657.92
"2_1e-04_0.2",1193.8
"2_1e-04_0.3",1363.91
"2_1e-04_0.5",1462.35
"3_1e-04_0.2",1587.67
"3_1e-04_0.5",1588.18
"3_1e-04_0.3",1678.23
